FEN,Evaluation,MinMaxAlphaBeta Depth Limit,MinMaxAlphaBeta Time,MinMaxAlphaBeta Nodes,MinMaxSimple Depth Limit,MinMaxSimple Time,Total Nodes,
k/p/P/K,0,0,0.000023,1,0,0.000005,1
k/p/1/P/K,-1,1,0.000157,2,1,0.000019,2
k/p/1/1/P/K,-6,6,0.00022,6,6,0.000061,6
k/p/1/1/1/P/K,-7,10,0.000679,22,10,0.000698,30
k/p/1/1/1/1/P/K,-10,17,0.001997,116,18,0.001084,258
k/p/1/1/1/1/1/P/K,-11,25,0.006678,549,26,0.03504,3864
k/p/1/1/1/1/1/1/P/K,-14,37,0.05032,3767,38,0.462397,104404
k/p/1/1/1/1/1/1/1/P/K,-15,49,0.170489,26596,54,19.692074,5212440
k/p/P/K,0,0,4.87E-05,,,,
k/p/1/P/K,-1,1,2.57E-05,,,,
bk1/3/BK1,-2,3,0.0002965,,,,
qk/2/QK,-6,6,0.0003779,,,,
1k/1p/1P/1K,-4,4,0.0002059,,,,
k/p/1/1/1/1/P/K,-10,17,0.0025399,,,,
k/p/1/1/P/K,-6,6,2.41E-05,,,,
k/p/1/1/1/P/K,-7,10,0.0008072,,,,
1k/1p/2/1P/1K,-5,18,0.0064921,,,,
1k1/1p1/1P1/1K1,-4,4,0.000223,,,,
qk1/3/QK1,-2,18,0.0113119,,,,
k/p/1/1/1/1/1/P/K,-11,25,0.0133576,,,,
k/p/1/1/1/1/1/1/P/K,-14,37,0.142748,,,,
1k/pp/PP/1K,-11,24,0.166798,,,,
qk/2/2/QK,-7,30,0.636681,,,,
k/p/1/1/1/1/1/1/1/P/K,-15,49,0.759408,,,,
nk/pp/PP/NK,-10,44,3.29127,,,,
rk/2/2/RK,-7,70,17.9502,,,,
nk/2/2/NK,-6,34,0.0608282,,,,
bk/2/BK,-2,2,0.0003188,,,,
bk/2/2/BK,-11,44,0.568284,,,,
bk/pp/PP/BK,9995,62,17.6675,,,,
qk/pp/PP/QK,-15,54,26.5366,,,,
rk/pp/PP/RK,-9,74,219.913,,,,
rk1/3/RK1,-8,122,22697.3,,,,
k/p/P/K,0,0,1.62E-05,,,,
k/p/1/P/K,-1,1,5.41E-05,,,,
k/p/1/1/P/K,-6,6,0.0001305,,,,
k/p/1/1/1/P/K,-7,10,0.000508,,,,
k/p/1/1/1/1/P/K,-10,17,0.0006883,,,,
k/p/1/1/1/1/1/P/K,-11,25,0.0088001,,,,
k/p/1/1/1/1/1/1/P/K,-14,37,0.0379916,,,,
k/p/1/1/1/1/1/1/1/P/K,-15,49,0.181906,,,,
k/p/1/P/K,,,,2,,,
k/p/1/1/P/K,,,,6,,,
k/p/P/K,,,,1,,,
k/p/1/1/1/P/K,,,,22,,,
k/p/1/1/1/1/P/K,,,,116,,,
k/p/1/1/1/1/1/P/K,,,,549,,,
k/p/1/1/1/1/1/1/P/K,,,,3767,,,
k/p/1/1/1/1/1/1/1/P/K,,,,26596,,,
k/p/1/P/K,,,,,1,1.88E-05,
k/p/P/K,,,,,0,4.20E-06,
k/p/1/1/P/K,,,,,6,6.15E-05,
k/p/1/1/1/P/K,,,,,10,0.0005619,
k/p/1/1/1/1/P/K,,,,,18,0.0009385,
k/p/1/1/1/1/1/P/K,,,,,26,0.0373368,
k/p/1/1/1/1/1/1/P/K,,,,,38,0.480518,
k/p/1/1/1/1/1/1/1/P/K,,,,,54,19.492,
k/p/1/P/K,,,,,,,2
k/p/P/K,,,,,,,1
k/p/1/1/P/K,,,,,,,6
k/p/1/1/1/P/K,,,,,,,30
k/p/1/1/1/1/P/K,,,,,,,258
k/p/1/1/1/1/1/P/K,,,,,,,3864
k/p/1/1/1/1/1/1/P/K,,,,,,,104404
k/p/1/1/1/1/1/1/1/P/K,,,,,,,5212440
k/p/P/K,0,0,0.000016,1,0,0.000004,1
k/p/1/P/K,-1,1,0.000054,2,1,0.000019,2
k/p/1/1/P/K,-6,6,0.000131,6,6,0.000062,6
k/p/1/1/1/P/K,-7,10,0.000508,22,10,0.000562,30
k/p/1/1/1/1/P/K,-10,17,0.000688,116,18,0.000938,258
k/p/1/1/1/1/1/P/K,-11,25,0.0088,549,26,0.037337,3864
k/p/1/1/1/1/1/1/P/K,-14,37,0.037992,3767,38,0.480518,104404
k/p/1/1/1/1/1/1/1/P/K,-15,49,0.181906,26596,54,19.492033,5212440
1k/1p/1P/1K,-4,4,0.0001167,4,4,8.20E-05,
1k/1p/2/1P/1K,-5,18,0.0021945,165,,,
1k/pp/PP/1K,-11,24,0.277036,2815,,,
1k1/1p1/1P1/1K1,-4,4,9.95E-05,9,,,
bk/2/2/BK,-11,44,1.88377,25269,,,
bk/2/BK,-2,2,0.0001774,3,2,3.61E-05,
bk/pp/PP/BK,9995,62,9.87588,678670,,,
bk1/3/BK1,-2,3,0.0001314,6,,,
k/p/1/1/1/1/1/1/1/P/K,-15,49,0.449905,26596,54,124.19,
k/p/1/1/1/1/1/1/P/K,-14,37,0.127975,3767,38,1.7927,
k/p/1/1/1/1/1/P/K,-11,25,0.0176833,549,26,0.064347,
k/p/1/1/1/1/P/K,-10,17,0.0010137,116,18,0.0082778,
k/p/1/1/1/P/K,-7,10,0.0002986,22,10,0.0002249,
k/p/1/1/P/K,-6,6,3.35E-05,6,6,7.99E-05,
k/p/1/P/K,-1,1,3.50E-05,2,1,2.05E-05,
k/p/P/K,0,0,2.11E-05,1,0,7.60E-06,
nk/2/2/NK,-6,34,0.361284,7187,,,
nk/pp/PP/NK,-10,44,2.84708,47439,,,
qk/2/2/QK,-7,30,0.417794,6303,59,2051.48,
qk/2/QK,-6,6,0.0005112,10,,,
qk/pp/PP/QK,-15,54,16.7271,258147,,,
rk/2/2/RK,-7,70,47.0428,1134338,,,
rk/2/RK,-2,6,0.0001989,8,6,9.82E-05,
rk/pp/PP/RK,-9,74,101.574,7148104,,,
1k/1p/1P/1K,-4,4,5.46E-05,,,,
1k/1p/1P/1K,,,,4,,,
1k/1p/1P/1K,,,,,4,8.01E-05,
1k/1p/1P/1K,,,,,,,4
1k/1p/1P/1K,-4,4,0.000055,4,4,0.00008,4
1k/1p/2/1P/1K,-5,18,0.0010051,,,,
1k/1p/2/1P/1K,,,,165,,,
bk/2/BK,-2,2,4.29E-05,,,,
qk/2/QK,-6,6,0.0001324,,,,
rk/2/RK,-2,6,9.54E-05,,,,
bk/2/BK,,,,3,,,
qk/2/QK,,,,10,,,
rk/2/RK,,,,8,,,
bk/2/BK,,,,,2,3.57E-05,
qk/2/QK,,,,,6,8.73E-05,
rk/2/RK,,,,,6,5.58E-05,
bk/2/BK,,,,,,,3
rk/2/RK,,,,,,,8
qk/2/QK,,,,,,,10
rk/2/RK,-2,6,0.000095,8,6,0.000056,8
bk/2/BK,-2,2,0.000043,3,2,0.000036,3
qk/2/QK,-6,6,0.000132,10,6,0.000087,10
1k/pp/PP/1K,-11,24,0.0146098,
1k/pp/PP/1K,,,,2815
1k/pp/PP/1K,,,,,44,190.818,
1k/pp/PP/1K,,,,,,,25237014
1k/pp/PP/1K,-11,24,0.014610,2815,44,190.818105,25237014,
