FEN,nodes_at_depth_2,nodes_at_depth_4,nodes_at_depth_6,nodes_at_depth_8,nodes_at_depth_10,nodes_at_depth_12,nodes_at_depth_14,nodes_at_depth_16
1k/1p/1P/1K,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1k/1p/2/1P/1K,7.0,50.0,172.0,430.0,1213.0,4688.0,26126.0,174393.0
1k/1p/2/2/1P/1K,9.0,118.0,1113.0,9292.0,65601.0,425030.0,0.0,0.0
1k/1p/2/2/2/1P/1K,9.0,142.0,2012.0,28409.0,344887.0,3907427.0,0.0,0.0
1k/pp/2/2/2/PP/1K,9.0,121.0,2120.0,39534.0,736999.0,13681955.0,0.0,0.0
1k/pp/2/2/PP/1K,9.0,117.0,1717.0,25266.0,365002.0,5055785.0,0.0,0.0
1k/pp/2/PP/1K,9.0,75.0,684.0,6272.0,54134.0,453136.0,0.0,0.0
1k/pp/PP/1K,8.0,39.0,154.0,610.0,2213.0,7623.0,24246.0,68802.0
1k1/1p1/1P1/1K1,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1k1/1p1/3/1P1/1K1,22.0,196.0,1114.0,5824.0,32728.0,215382.0,1819544.0,19049586.0
2k1/2p1/4/2P1/2K1,22.0,376.0,4361.0,51434.0,544215.0,5749481.0,0.0,0.0
bk/2/2/2/BK,9.0,104.0,899.0,9479.0,95286.0,975388.0,0.0,0.0
bk/2/2/BK,4.0,24.0,64.0,224.0,929.0,3977.0,16236.0,59556.0
bk/2/BK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bk/pp/2/2/PP/BK,4.0,45.0,626.0,8728.0,133343.0,2050728.0,0.0,0.0
bk/pp/2/PP/BK,4.0,16.0,133.0,1139.0,10502.0,100865.0,976609.0,9538873.0
bk/pp/PP/BK,5.0,18.0,81.0,405.0,1628.0,6385.0,24626.0,90986.0
bk1/3/3/BK1,19.0,331.0,4691.0,63396.0,842077.0,10803323.0,0.0,0.0
bk1/3/BK1,4.0,19.0,84.0,360.0,1277.0,4929.0,17016.0,58900.0
bk1/pp1/3/PP1/BK1,15.0,259.0,4717.0,96823.0,2154800.0,50003286.0,0.0,0.0
bk1/pp1/PP1/BK1,9.0,80.0,834.0,10407.0,131606.0,1692315.0,0.0,0.0
bkb/ppp/3/PPP/BKB,10.0,204.0,4782.0,127850.0,3626752.0,0.0,0.0,0.0
bkb/ppp/PPP/BKB,10.0,144.0,1964.0,26124.0,339572.0,4569266.0,0.0,0.0
k/p/1/1/1/1/1/1/1/1/P/K,1.0,4.0,16.0,94.0,472.0,2817.0,13194.0,61796.0
k/p/1/1/1/1/1/1/1/P/K,1.0,4.0,16.0,93.0,434.0,2216.0,7924.0,28067.0
k/p/1/1/1/1/1/1/P/K,1.0,4.0,16.0,87.0,334.0,1290.0,3027.0,7324.0
k/p/1/1/1/1/1/P/K,1.0,4.0,15.0,68.0,167.0,440.0,543.0,704.0
k/p/1/1/1/1/P/K,1.0,4.0,11.0,36.0,42.0,53.0,30.0,5.0
k/p/1/1/1/P/K,1.0,3.0,5.0,7.0,3.0,0.0,0.0,0.0
k/p/1/1/P/K,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
k/p/1/P/K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k/p/P/K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nk/2/2/2/NK,9.0,120.0,1250.0,12934.0,121438.0,1074856.0,0.0,0.0
nk/2/2/NK,4.0,24.0,93.0,407.0,1564.0,5580.0,18239.0,54485.0
nk/pp/2/2/PP/NK,9.0,110.0,1419.0,18169.0,248258.0,3411556.0,0.0,0.0
nk/pp/2/PP/NK,9.0,72.0,681.0,6396.0,61609.0,580747.0,0.0,0.0
nk/pp/PP/NK,6.0,19.0,59.0,210.0,906.0,3642.0,14136.0,49554.0
nk1/3/3/NK1,22.0,398.0,5490.0,80901.0,1090128.0,14733501.0,0.0,0.0
nk1/3/NK1,2.0,12.0,43.0,189.0,729.0,2786.0,9921.0,34160.0
nk1/pp1/3/PP1/NK1,34.0,1088.0,28298.0,682812.0,15788821.0,0.0,0.0,0.0
nk1/pp1/PP1/NK1,18.0,294.0,3345.0,39559.0,477917.0,5940410.0,0.0,0.0
nkn/ppp/3/PPP/NKN,28.0,936.0,32136.0,1041784.0,31142730.0,0.0,0.0,0.0
nkn/ppp/PPP/NKN,22.0,162.0,1402.0,15104.0,165036.0,1967804.0,0.0,0.0
qk/2/2/2/QK,19.0,305.0,3773.0,43652.0,472303.0,4872629.0,0.0,0.0
qk/2/2/QK,11.0,50.0,199.0,763.0,2650.0,8225.0,23559.0,62668.0
qk/2/QK,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qk/pp/2/2/PP/QK,4.0,61.0,1372.0,35291.0,985215.0,28528097.0,0.0,0.0
qk/pp/2/PP/QK,4.0,35.0,523.0,7447.0,107239.0,1517140.0,0.0,0.0
qk/pp/PP/QK,6.0,41.0,246.0,1205.0,5533.0,22370.0,84017.0,294853.0
qk1/3/3/QK1,26.0,483.0,6836.0,88620.0,1095484.0,12866833.0,0.0,0.0
qk1/3/QK1,5.0,21.0,48.0,99.0,250.0,481.0,853.0,1507.0
qk1/pp1/3/PP1/QK1,15.0,404.0,12162.0,380211.0,12518207.0,0.0,0.0,0.0
qk1/pp1/PP1/QK1,10.0,150.0,2621.0,39991.0,570061.0,7630968.0,0.0,0.0
qkq/ppp/3/PPP/QKQ,10.0,322.0,13484.0,595630.0,28560334.0,0.0,0.0,0.0
qkq/ppp/PPP/QKQ,12.0,282.0,5558.0,99864.0,1754460.0,0.0,0.0,0.0
rk/2/2/2/RK,16.0,314.0,3963.0,49684.0,549725.0,5982991.0,0.0,0.0
rk/2/2/RK,10.0,79.0,387.0,1863.0,7964.0,32321.0,124729.0,449537.0
rk/2/RK,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
rk/pp/2/2/PP/RK,4.0,46.0,753.0,15595.0,349576.0,8056041.0,0.0,0.0
rk/pp/2/PP/RK,4.0,23.0,293.0,3900.0,49234.0,622259.0,0.0,0.0
rk/pp/PP/RK,5.0,32.0,230.0,1232.0,6720.0,34084.0,160612.0,713491.0
rk1/3/3/RK1,25.0,666.0,11743.0,200364.0,3195456.0,49793869.0,0.0,0.0
rk1/3/RK1,6.0,45.0,194.0,918.0,3377.0,13738.0,47384.0,171348.0
rk1/pp1/3/PP1/RK1,15.0,358.0,8926.0,231712.0,6686620.0,0.0,0.0,0.0
rk1/pp1/PP1/RK1,10.0,134.0,2205.0,36086.0,595988.0,9610702.0,0.0,0.0
rkr/ppp/3/PPP/RKR,10.0,168.0,4302.0,136140.0,4768748.0,0.0,0.0,0.0
rkr/ppp/PPP/RKR,10.0,120.0,1988.0,35564.0,628612.0,11290518.0,0.0,0.0